team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,raw_termination_reason,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination,pn_guidance_frames,pn_nonzero_command_frames,maximum_command_g
blue,blue_1,red_2,m3,176,2106,4316.889547997306,0.7105748673301554,40.712940926086304,2.2232926516091096,127.38528555965169,4316.889547997306,3435.0153337276297,-2614.613743302143,301.44702290225143,280.1497761336508,-6.667296831540561,4684.077448057057,2069.463704754914,True,overshoot,miss,False,4.699999999999989,176,199,23,True,282,282,30.000000000000007
blue,blue_1,red_2,m5,199,2388,4400.7747860602385,0.3930897820492236,22.522385481137903,2.47170806021715,141.61844003891022,4400.7747860602385,3447.4081758665106,-2735.360229767237,301.6512048203353,312.0471487626292,-3.3673499287422137,3803.343427818758,1067.983198051521,True,overshoot,miss,False,4.816666666666655,199,223,24,True,289,289,30.000000000000007
blue,blue_0,red_0,m4,196,2348,3657.230787526136,0.7269094413386488,41.64884307691707,2.053443270456917,117.65363286672219,3657.230787526136,3655.6802407270106,-106.48479134198806,288.1495843599019,254.99743778907995,46.22436513736326,5767.817017863751,5661.332226521763,True,hit,hit,True,6.333333333333316,196,228,32,False,379,379,30.000000000000004
blue,blue_0,red_2,m2,143,1714,5054.526797573113,0.7626406753298537,43.6960919814075,3.012862179501674,172.62428714003258,5054.526797573113,4917.753498517039,-1167.8791355307849,272.52042325227205,273.4758642679958,-68.26517531561916,6409.80750568811,5241.928370157325,True,hit,hit,True,10.000000000000076,143,193,50,False,599,599,30.000000000000007
blue,blue_2,red_2,m6,243,2907,9698.2082667792,0.7711407565681059,44.183110761877685,2.6587197672148037,152.33342156941296,9698.2082667792,7339.1437669296565,-6339.732829872406,303.66036739456933,268.12800663078156,-30.74101594564703,6377.246846579229,37.51401670682253,True,target_dead,miss,False,0.41666666666666663,243,245,2,False,24,24,29.999999999999996
blue,blue_2,red_0,m3,202,2424,4960.02405470574,0.7303666873403872,41.84692868155516,2.526688609149825,144.768593448065,4960.02405470574,3108.570714244612,-3865.051970905477,207.96077891918932,290.80735533827595,-120.22244801177095,8096.144412792308,4231.092441886831,True,overshoot,miss,False,2.166666666666664,202,213,11,True,130,130,30.000000000000007
blue,blue_1,red_0,m4,228,2734,3393.236802045889,0.7169793584650173,41.07989123804284,1.7285252828264808,99.0372034876143,3393.236802045889,3313.153351091001,-732.85119015601,294.3603366969766,291.84822376991815,155.92850663876806,3870.1579961729863,3137.306806016976,True,overshoot,miss,False,3.1666666666666603,228,244,16,True,190,190,30.000000000000007
blue,blue_1,red_0,m5,244,2924,2964.854948347985,0.46487074079389124,26.635131466610037,1.9385371915475185,111.06999950481645,2964.854948347985,2764.87736248085,-1070.4289024426002,295.09854197430985,294.69781689718866,105.34628767301157,3552.4503693037914,2482.021466861191,True,overshoot,miss,False,3.599999999999992,244,262,18,True,216,216,30.000000000000007
blue,blue_0,red_0,m1,84,998,1017.4353047626288,0.7091873020896561,40.63343929400664,1.571520230813893,90.04147664506105,1017.4353047626288,960.9093934924882,-334.4065443069585,300.60553722950897,274.43741994677526,206.4354619117081,5809.793282957272,5475.386738650313,True,overshoot,miss,False,1.649999999999999,84,92,8,True,99,99,30.000000000000007
blue,blue_1,red_1,m0,81,966,1693.8753681880573,0.4779216219598793,27.382891876347927,1.571136139357705,90.01946982567445,1693.8753681880573,1659.478031267104,339.62689336400217,298.25472171212414,264.5157324150875,263.20170323169066,5811.316706359799,6150.9435997238015,True,overshoot,miss,False,2.9999999999999942,81,96,15,True,180,180,30.000000000000007
